id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3326491,2,2/12/2016 7:41,2/12/2016 7:51,1,-73.97964478,40.73963165,-73.99472809,40.72349548,N,559
id0718344,2,6/13/2016 15:52,6/13/2016 16:16,1,-74.0163269,40.70499039,-73.98210907,40.77375031,N,1478
id3188770,1,1/3/2016 16:59,1/3/2016 17:04,1,-73.98513794,40.73219299,-73.98963928,40.72087479,N,348
id1956279,2,2/26/2016 8:37,2/26/2016 8:43,1,-73.98165894,40.77897263,-73.96981049,40.79212952,N,375
id2391523,1,5/18/2016 21:50,5/18/2016 22:10,3,-73.96616364,40.76691437,-73.99217987,40.72581863,N,1217
id2662609,1,4/10/2016 19:11,4/10/2016 19:25,1,-73.96546936,40.76584625,-73.96095276,40.79692841,N,876
id2067879,2,1/19/2016 23:19,1/19/2016 23:44,1,-73.99681854,40.75286102,-73.80900574,40.81687546,N,1557
id1939961,1,5/7/2016 13:18,5/7/2016 13:46,1,-73.97725677,40.77424622,-73.99001312,40.73265457,N,1647
id0675800,2,2/15/2016 9:25,2/15/2016 9:35,6,-73.97775269,40.75463104,-74.00167847,40.75642014,N,634
id2569332,1,4/13/2016 14:24,4/13/2016 14:30,1,-73.96872711,40.78643799,-73.960495,40.77815247,N,365
id0526266,2,5/15/2016 9:42,5/15/2016 9:56,1,-73.93488312,40.80101013,-73.98300171,40.72256851,N,819
id3827863,2,4/19/2016 11:29,4/19/2016 12:27,3,-73.79289246,40.65787888,-73.80918884,40.69018173,N,3528
id1388344,2,1/2/2016 15:41,1/2/2016 16:01,2,-73.98233795,40.76280975,-73.98285675,40.7487793,N,1228
id1079955,1,4/22/2016 11:28,4/22/2016 12:11,1,-73.99485016,40.71878052,-73.9834137,40.7588501,N,2607
id0256505,1,3/14/2016 15:04,3/14/2016 15:16,1,-73.99448395,40.74508667,-73.99899292,40.72270966,N,695
id1530524,1,3/19/2016 17:41,3/19/2016 17:48,1,-73.95342255,40.76765823,-73.98031616,40.73778152,N,472
id1674872,1,2/29/2016 2:46,2/29/2016 2:55,1,-73.95185089,40.71406937,-73.9679718,40.6887207,N,526
id1040444,2,1/7/2016 17:01,1/7/2016 17:13,4,-73.9769516,40.75202179,-74.00121307,40.75161362,N,721
id1674996,1,5/13/2016 12:32,5/13/2016 12:40,1,-74.00180054,40.72613525,-74.00715637,40.74080658,N,512
id1965939,1,5/24/2016 12:16,5/24/2016 12:28,1,-73.99409485,40.7615509,-73.9806366,40.78963852,N,720
id0442192,1,4/10/2016 16:07,4/10/2016 16:10,1,-74.00632477,40.73339081,-74.00000763,40.74325562,N,174
id0515898,2,5/21/2016 17:38,5/21/2016 17:46,1,-74.00257111,40.73931122,-73.99188232,40.74499893,N,478
id1182327,2,2/29/2016 11:22,2/29/2016 11:35,1,-73.94830322,40.77443695,-73.96370697,40.75548553,N,788
id3913101,1,6/25/2016 22:05,6/25/2016 22:22,2,-74.00141144,40.76143265,-73.92462921,40.86402893,N,1003
id1680350,1,3/18/2016 20:56,3/18/2016 20:59,1,-74.00298309,40.72331238,-74.0015564,40.72882462,N,215
id0913838,2,2/3/2016 16:22,2/3/2016 16:37,5,-73.97833252,40.75407028,-73.95973206,40.77275848,N,870
id3896508,2,6/7/2016 22:32,6/7/2016 22:46,1,-73.86338043,40.76988983,-73.83712769,40.72135925,N,814
id2846400,2,3/16/2016 20:13,3/16/2016 20:23,1,-73.99725342,40.71796036,-73.99925232,40.73001862,N,637
id1510700,2,2/20/2016 21:58,2/20/2016 21:59,1,-73.95839691,40.77262878,-73.95513153,40.7742424,N,57
id0813128,2,2/20/2016 18:57,2/20/2016 19:07,2,-73.99120331,40.74955368,-73.97919464,40.74630737,N,589
id1158195,1,3/24/2016 17:58,3/24/2016 18:36,1,-73.99232483,40.73072052,-73.87250519,40.77449799,N,2275
id0959273,1,3/20/2016 23:16,3/20/2016 23:27,1,-73.9888382,40.76890182,-73.95553589,40.77174377,N,647
id0739660,1,5/16/2016 13:07,5/16/2016 13:34,3,-73.96472168,40.80660629,-73.98457336,40.76067734,N,1628
id3769871,1,6/17/2016 17:32,6/17/2016 18:11,1,-73.94314575,40.78963089,-73.98947906,40.76276398,N,2337
id1818021,1,3/23/2016 0:34,3/23/2016 0:45,1,-74.01116943,40.70360565,-74.00569153,40.74135971,N,674
id0982165,2,4/12/2016 21:29,4/12/2016 21:49,1,-73.98031616,40.7588501,-74.01013947,40.70508194,N,1190
id1519515,2,6/11/2016 12:52,6/11/2016 13:12,1,-73.95049286,40.77126694,-74.00124359,40.74649048,N,1191
id1082443,2,2/25/2016 14:56,2/25/2016 15:09,1,-73.98712158,40.76847458,-73.97582245,40.75971222,N,785
id2934884,2,1/7/2016 19:32,1/7/2016 19:40,1,-73.98638916,40.75661469,-73.99979401,40.76163101,N,520
id1205949,1,6/5/2016 18:43,6/5/2016 18:46,1,-73.96260834,40.75882721,-73.95419312,40.76405334,N,218
id2592310,2,6/13/2016 7:20,6/13/2016 7:24,1,-73.99041748,40.75688171,-73.98197937,40.75999069,N,222
id0883711,1,1/16/2016 21:22,1/16/2016 21:42,1,-73.99363708,40.7342186,-73.96146393,40.76929855,N,1204
id0283075,1,4/6/2016 23:42,4/7/2016 0:12,1,-73.78247833,40.64464569,-73.98112488,40.72088623,N,1782
id2107497,1,5/13/2016 20:46,5/13/2016 21:06,2,-74.01395416,40.7128334,-73.99755096,40.7180748,N,1174
id2090852,2,1/28/2016 11:25,1/28/2016 11:30,1,-73.96882629,40.75419617,-73.97275543,40.74661255,N,336
id1297351,2,6/24/2016 14:24,6/24/2016 14:32,1,-74.00328827,40.72697067,-73.99330139,40.73912048,N,470
id0667605,2,5/27/2016 16:17,5/27/2016 16:23,1,-73.99105835,40.73957062,-74.00610352,40.73455048,N,346
id1476107,1,5/22/2016 15:41,5/22/2016 15:48,1,-73.9668808,40.78868103,-73.96282196,40.77572632,N,419
id0673727,2,5/18/2016 19:15,5/18/2016 19:44,1,-73.96167755,40.77596664,-73.85739136,40.733284,N,1762
id2030290,1,3/31/2016 11:33,3/31/2016 12:12,3,-73.86431885,40.7698288,-73.98586273,40.760952,N,2341
id3770790,1,2/13/2016 13:12,2/13/2016 13:19,1,-73.99223328,40.74428177,-74.00823212,40.74882507,N,406
id3025098,2,1/20/2016 19:21,1/20/2016 19:31,1,-73.97698212,40.75030136,-73.99912262,40.73950958,N,596
id3333094,2,6/2/2016 23:34,6/2/2016 23:41,1,-73.97346497,40.75522995,-73.97736359,40.74282074,N,435
id2228940,1,2/4/2016 13:22,2/4/2016 13:40,1,-73.98186493,40.7587738,-73.97022247,40.78414154,N,1108
id2102594,1,3/30/2016 16:14,3/30/2016 17:01,1,-73.7898407,40.6435585,-73.97066498,40.68727875,N,2824
id0010677,1,4/29/2016 10:40,4/29/2016 10:53,2,-73.99197388,40.74999619,-73.97788239,40.75489426,N,769
id3194108,1,6/1/2016 11:48,6/1/2016 12:19,1,-74.00502777,40.74645233,-73.97200775,40.74578094,N,1826
id2063827,1,5/18/2016 21:09,5/18/2016 21:18,1,-73.98141479,40.75673294,-73.9705658,40.75569534,N,593
id0105610,1,2/19/2016 20:01,2/19/2016 20:35,3,-73.78971863,40.64370728,-73.97869873,40.75034332,N,2065
id3502065,1,3/15/2016 21:03,3/15/2016 21:14,1,-73.97401428,40.75715256,-73.94973755,40.77709198,N,653
id3508035,2,6/6/2016 20:13,6/6/2016 20:45,6,-73.78813171,40.64146042,-73.97177124,40.74940872,N,1884
id3236276,2,1/27/2016 8:07,1/27/2016 8:24,1,-73.95603943,40.76760864,-73.96820068,40.78668976,N,989
id3277902,1,4/9/2016 15:04,4/9/2016 15:11,1,-73.97316742,40.75569916,-73.98865509,40.7369957,N,419
id2335059,1,5/27/2016 11:10,5/27/2016 11:26,4,-73.97580719,40.76062775,-73.98778534,40.75492096,N,962
id2300865,1,5/10/2016 10:31,5/10/2016 10:35,1,-73.96588135,40.76284027,-73.96099091,40.77087402,N,243
id3962434,2,1/10/2016 8:45,1/10/2016 8:51,2,-73.98927307,40.7564888,-74.00279999,40.76050186,N,373
id2677672,1,2/18/2016 17:47,2/18/2016 17:54,2,-73.945755,40.77368164,-73.95343018,40.78107834,N,384
id0589360,1,5/22/2016 17:34,5/22/2016 18:20,1,-73.86367798,40.76977158,-74.00721741,40.70489502,N,2753
id0970832,1,3/12/2016 20:39,3/12/2016 21:05,1,-74.00824738,40.7473526,-73.97944641,40.71875,N,1561
id0694434,1,1/26/2016 23:40,1/26/2016 23:48,1,-74.00679779,40.70607376,-73.97402191,40.74407578,N,505
id3729136,2,1/30/2016 15:15,1/30/2016 15:30,2,-73.97727203,40.75735092,-74.00243378,40.7344017,N,900
id2358953,2,6/27/2016 0:31,6/27/2016 1:06,1,-73.87081909,40.77373886,-73.85749817,41.01781082,N,2116
id0935429,1,5/2/2016 6:58,5/2/2016 7:08,1,-73.9990921,40.74549103,-73.9785614,40.76232529,N,611
id3056417,2,4/11/2016 14:18,4/11/2016 14:34,1,-73.98435974,40.74271011,-73.98774719,40.75188828,N,972
id1152886,2,1/21/2016 14:34,1/21/2016 14:44,1,-73.96167755,40.7711792,-73.95211029,40.78435898,N,604
id1796723,1,2/9/2016 15:54,2/9/2016 16:04,1,-73.99385834,40.73579788,-73.99462128,40.75046158,N,594
id0045014,1,4/20/2016 20:29,4/20/2016 20:39,1,-73.95012665,40.78008652,-73.96282959,40.76268387,N,574
id2648478,1,1/18/2016 11:13,1/18/2016 11:18,1,-73.95157623,40.76646805,-73.96021271,40.76054001,N,297
id0702030,1,1/7/2016 23:24,1/7/2016 23:26,1,-73.9992981,40.74953461,-74.00536346,40.74351883,N,101
id3024438,2,6/10/2016 22:24,6/10/2016 22:41,1,-73.95372009,40.77529526,-73.99119568,40.72631836,N,1041
id2146569,2,6/23/2016 22:17,6/23/2016 22:21,1,-73.97679901,40.74995041,-73.98156738,40.7457695,N,212
id2307151,1,2/7/2016 18:08,2/7/2016 18:15,1,-73.96195221,40.80044556,-73.97841644,40.78279114,N,422
id2049424,2,3/2/2016 20:15,3/2/2016 20:37,1,-73.96389008,40.77365112,-74.00511169,40.75149155,N,1356
id2209089,1,2/24/2016 22:56,2/24/2016 23:03,1,-74.00691223,40.73036194,-74.0059433,40.72706985,N,416
id0391524,1,4/6/2016 12:14,4/6/2016 12:33,1,-73.97864532,40.74803543,-73.97013092,40.76273727,N,1118
id2681033,1,6/17/2016 10:01,6/17/2016 10:16,1,-73.97682953,40.78821182,-73.98374939,40.76253128,N,874
id2040275,1,6/16/2016 20:31,6/16/2016 20:36,1,-73.93694305,40.79823303,-73.94638062,40.78088379,N,321
id0073842,2,3/30/2016 23:49,3/30/2016 23:56,1,-73.99005127,40.73801041,-73.99093628,40.72521591,N,400
id3942339,1,1/5/2016 17:58,1/5/2016 18:13,1,-73.97882843,40.7528038,-73.99103546,40.75041962,N,934
id2991616,2,3/19/2016 19:51,3/19/2016 20:04,3,-73.98356628,40.75556183,-73.98236847,40.76696014,N,773
id1047459,2,1/22/2016 17:31,1/22/2016 17:37,3,-73.98841095,40.75896072,-73.99189758,40.77069092,N,337
id1737558,1,5/18/2016 19:08,5/18/2016 19:12,1,-73.9602356,40.76222992,-73.95059204,40.77531433,N,234
id2135557,2,5/25/2016 13:19,5/25/2016 13:27,5,-73.97028351,40.76483154,-73.95757294,40.78247833,N,474
id0659170,2,3/26/2016 13:07,3/26/2016 13:29,1,-73.96865845,40.76450729,-73.87283325,40.77145386,N,1314
id1125774,1,1/19/2016 22:20,1/19/2016 22:28,2,-73.99453735,40.74023438,-73.97618866,40.76259232,N,482
id1886740,1,5/29/2016 0:15,5/29/2016 0:24,1,-73.98511505,40.76872635,-73.95166779,40.77443314,N,566
id1982306,2,2/10/2016 21:06,2/10/2016 21:09,2,-73.98493958,40.75185776,-73.9835434,40.74433517,N,189
id2684106,2,2/26/2016 20:59,2/26/2016 21:14,2,-74.00100708,40.73178101,-73.9871521,40.77100372,N,913
id0038484,2,3/9/2016 13:41,3/9/2016 13:53,2,-73.97285461,40.76440048,-73.97180939,40.75788879,N,736
id1734208,2,4/11/2016 10:44,4/11/2016 10:56,6,-73.99707794,40.72063828,-73.99963379,40.74583817,N,714
id0561467,1,2/9/2016 6:58,2/9/2016 7:12,1,-73.97254944,40.79401779,-73.95405579,40.7663002,N,815
id3092788,2,3/3/2016 22:01,3/3/2016 22:17,2,-73.98477173,40.71057129,-73.9894104,40.73014832,N,972
id1741519,2,3/26/2016 14:47,3/26/2016 14:53,1,-73.98478699,40.74301529,-73.99360657,40.73528671,N,318
id1330402,2,5/22/2016 18:06,5/22/2016 18:16,1,-73.99182129,40.75007629,-73.97105408,40.75669861,N,625
id2505596,2,5/28/2016 22:53,5/28/2016 23:07,1,-73.98498535,40.74858093,-73.98127747,40.76911545,N,859
id1630509,2,3/16/2016 5:42,3/16/2016 5:45,2,-73.9936676,40.74187851,-73.98458862,40.75429916,N,141
id0512853,1,5/28/2016 17:40,5/28/2016 17:56,1,-73.96956635,40.76916504,-73.98652649,40.73033524,N,983
id3089912,2,6/13/2016 13:22,6/13/2016 13:31,2,-73.98995972,40.74108124,-73.97696686,40.74745178,N,565
id1137965,1,5/16/2016 15:02,5/16/2016 15:08,1,-73.98913574,40.7750206,-73.98181915,40.76605988,N,351
id3677225,2,1/9/2016 15:07,1/9/2016 15:12,1,-73.96788025,40.7598114,-73.9538269,40.77888107,N,342
id0401226,1,5/26/2016 6:37,5/26/2016 6:52,4,-74.00670624,40.70555496,-73.99169159,40.74972153,N,909
id2452605,2,5/22/2016 22:42,5/22/2016 22:46,1,-73.99626923,40.74985123,-73.99476624,40.73648071,N,227
id3618302,2,4/19/2016 9:27,4/19/2016 9:45,6,-73.98731995,40.75064087,-73.98928833,40.76940536,N,1078
id1552358,2,4/1/2016 7:55,4/1/2016 8:10,1,-73.97543335,40.75213242,-73.99078369,40.75094223,N,900
id1168234,1,2/1/2016 18:02,2/1/2016 18:13,1,-74.00020599,40.73784637,-74.00031281,40.72286606,N,631
id2910320,2,4/20/2016 7:33,4/20/2016 7:56,1,-73.95545959,40.76730728,-73.98899841,40.69316864,N,1385
id3331830,1,4/12/2016 9:21,4/12/2016 9:35,1,-73.96486664,40.75579071,-73.97580719,40.75735474,N,869
id0195963,2,6/19/2016 18:39,6/19/2016 18:48,1,-73.99916077,40.74436951,-73.9887085,40.75870132,N,574
id0762989,2,3/17/2016 8:24,3/17/2016 8:26,1,-73.97761536,40.76357269,-73.97257233,40.76595688,N,104
id2671060,2,4/7/2016 8:44,4/7/2016 8:51,1,-73.95311737,40.77180099,-73.94792175,40.78314972,N,418
id3620795,1,1/1/2016 10:45,1/1/2016 10:51,1,-74.0016098,40.74081039,-73.99622345,40.72590256,N,383
id2282206,1,1/4/2016 16:32,1/4/2016 16:51,2,-73.96218109,40.81072617,-73.9948349,40.75281143,N,1117
id0591292,1,6/9/2016 18:43,6/9/2016 19:07,1,-73.98696899,40.74285126,-73.99428558,40.76135635,N,1447
id0906779,1,4/19/2016 8:31,4/19/2016 9:14,2,-73.97155762,40.75062943,-73.95262909,40.63159561,N,2543
id2326430,2,6/10/2016 22:06,6/10/2016 22:23,1,-73.95687866,40.77487183,-73.93650818,40.85718536,N,981
id3863815,2,3/14/2016 4:24,3/14/2016 4:37,3,-73.94435883,40.71448898,-73.91053009,40.70949173,N,755
id3048297,2,4/6/2016 8:53,4/6/2016 9:14,1,-73.97279358,40.75559616,-73.87312317,40.77445602,N,1257
id3649509,1,4/2/2016 14:46,4/2/2016 15:06,2,-74.00554657,40.70926285,-73.97014618,40.76274109,N,1221
id1783063,2,4/6/2016 12:24,4/6/2016 12:40,2,-73.98464966,40.74597931,-73.97737885,40.75965118,N,940
id3363012,2,4/12/2016 20:22,4/12/2016 20:24,1,-73.96196747,40.77008057,-73.96077728,40.77505112,N,126
id0514638,1,2/10/2016 8:36,2/10/2016 8:42,1,-73.96942139,40.80003357,-73.9681778,40.79170227,N,350
id0627115,2,2/26/2016 16:10,2/26/2016 16:23,1,-73.98262787,40.76211166,-73.99337006,40.74748993,N,737
id3141299,2,1/14/2016 12:25,1/14/2016 12:37,3,-73.99577332,40.74256897,-74.00809479,40.72277069,N,690
id2003497,1,4/15/2016 11:58,4/15/2016 12:09,2,-74.00007629,40.74829865,-73.98988342,40.73796463,N,671
id3748197,1,2/7/2016 23:17,2/7/2016 23:25,1,-73.9991684,40.73423386,-73.98209381,40.74027634,N,463
id2983261,1,4/15/2016 14:41,4/15/2016 14:47,1,-74.01425171,40.71391296,-74.00462341,40.7053833,N,367
id0485870,2,6/19/2016 20:23,6/19/2016 20:29,1,-73.99089813,40.75066376,-73.99321747,40.73419952,N,369
id0835694,1,1/15/2016 19:25,1/15/2016 19:31,1,-73.97510529,40.75569153,-73.9855957,40.74747467,N,402
id3426410,2,2/18/2016 9:27,2/18/2016 9:45,5,-73.96743774,40.75934982,-74.01268768,40.70161057,N,1093
id3673678,2,1/31/2016 13:52,1/31/2016 14:03,1,-73.97599792,40.75113678,-74.00185394,40.73522949,N,657
id2460349,1,1/7/2016 15:40,1/7/2016 15:49,2,-73.9789505,40.75093079,-73.96439362,40.75496292,N,530
id3198639,1,6/5/2016 3:02,6/5/2016 3:14,1,-73.97978973,40.78126526,-73.94087982,40.82322311,N,733
id1872601,2,5/31/2016 19:16,5/31/2016 19:27,2,-73.98686218,40.7509613,-74.00537872,40.74002838,N,699
id0125957,1,6/14/2016 21:16,6/14/2016 21:21,2,-73.96701813,40.75300598,-73.95162964,40.76935959,N,294
id3526986,2,2/23/2016 13:28,2/23/2016 13:40,1,-73.97038269,40.76499176,-73.94966888,40.76845932,N,661
id3170873,1,6/30/2016 21:35,6/30/2016 21:46,1,-74.00243378,40.7171669,-73.98596954,40.72674942,N,652
id1674373,2,2/15/2016 17:52,2/15/2016 18:02,5,-74.00749969,40.74095154,-74.01664734,40.70491028,N,586
id2973697,2,4/7/2016 22:52,4/7/2016 23:10,2,-73.99538422,40.7492981,-73.98932648,40.71814728,N,1057
id1592044,1,1/29/2016 11:23,1/29/2016 11:33,1,-73.98667908,40.72584915,-73.99746704,40.7351532,N,580
id3899813,2,6/1/2016 20:15,6/1/2016 20:34,5,-73.98002625,40.76596832,-73.99120331,40.75035095,N,1151
id2075052,1,4/9/2016 9:09,4/9/2016 9:20,1,-73.95449829,40.76680756,-73.98778534,40.7208786,N,660
id3707411,1,1/3/2016 2:03,1/3/2016 2:17,1,-74.00772858,40.74060822,-73.98351288,40.73720932,N,803
id1608545,1,4/14/2016 8:31,4/14/2016 9:03,1,-74.00679779,40.73107147,-73.97496033,40.75846863,N,1954
id3517425,2,1/16/2016 20:34,1/16/2016 20:51,6,-73.98092651,40.75524139,-74.00455475,40.7296524,N,1030
id3942917,1,4/29/2016 14:18,4/29/2016 15:05,4,-73.86277771,40.76931381,-73.98612976,40.74858093,N,2817
id2000923,2,3/29/2016 6:07,3/29/2016 6:09,5,-73.98786926,40.76509857,-73.99360657,40.75894928,N,85
id3564028,1,1/2/2016 1:16,1/2/2016 1:19,1,-73.95413208,40.77478409,-73.94741821,40.77963257,N,194
id1233453,1,2/5/2016 17:28,2/5/2016 17:30,1,-73.9720993,40.78220749,-73.96451569,40.77754974,N,116
id1372674,2,5/22/2016 13:08,5/22/2016 13:21,1,-73.97821045,40.77716064,-73.95762634,40.77454758,N,806
id2806146,2,5/28/2016 21:31,5/28/2016 21:41,1,-73.98357391,40.73841858,-74.00548553,40.73955917,N,599
id1832737,2,3/6/2016 10:53,3/6/2016 10:59,1,-73.98471069,40.76018143,-73.97956085,40.75270462,N,364
id1489766,2,5/31/2016 19:53,5/31/2016 20:00,1,-73.98989105,40.74715805,-73.97494507,40.741745,N,433
id3308765,2,5/17/2016 18:00,5/17/2016 18:10,4,-73.86347198,40.76981735,-73.87153625,40.76310349,N,598
id1935437,2,4/24/2016 9:09,4/24/2016 9:37,1,-73.9758606,40.7572403,-74.17759705,40.69094849,N,1665
id2059551,2,4/1/2016 9:28,4/1/2016 9:42,1,-73.95665741,40.78076935,-73.96964264,40.80010223,N,838
id2433939,1,5/16/2016 13:05,5/16/2016 13:33,3,-73.87300873,40.77412033,-73.97607422,40.74991226,N,1699
id2677357,2,2/15/2016 16:36,2/15/2016 16:41,2,-73.97163391,40.78196335,-73.98168945,40.77899551,N,331
id2336715,2,1/1/2016 0:09,1/1/2016 0:19,2,-73.98435974,40.74898529,-73.99628448,40.71605682,N,622
id3525276,1,3/24/2016 18:27,3/24/2016 18:32,1,-73.97097015,40.76412582,-73.96228027,40.77618027,N,343
id3729126,1,1/4/2016 14:20,1/4/2016 14:36,1,-73.86691284,40.77187729,-73.79469299,40.7347908,N,998
id1073968,1,3/15/2016 9:44,3/15/2016 10:07,1,-73.95521545,40.78024673,-73.86183167,40.76845551,N,1365
id0562336,2,6/15/2016 10:17,6/15/2016 10:27,2,-73.95274353,40.77225876,-73.97776794,40.73911285,N,592
id1163958,1,3/18/2016 7:48,3/18/2016 7:53,1,-73.97257996,40.74890518,-73.96156311,40.76051712,N,313
id1681877,1,4/26/2016 14:42,4/26/2016 14:57,1,-73.95526123,40.78024292,-73.96987152,40.7897644,N,890
id0945119,2,5/2/2016 18:29,5/2/2016 18:38,6,-74.00283813,40.76036072,-73.98841095,40.77898026,N,558
id2939783,1,4/12/2016 10:11,4/12/2016 10:34,1,-73.99006653,40.75193405,-73.98975372,40.72386932,N,1389
id2050990,2,6/20/2016 21:05,6/20/2016 21:47,1,-73.99008179,40.75673676,-73.95513153,40.67752457,N,2556
id3780362,2,5/8/2016 21:13,5/8/2016 21:16,2,-73.94952393,40.77661133,-73.94267273,40.78596878,N,135
id2233338,2,1/14/2016 19:14,1/14/2016 19:23,2,-73.99514008,40.75,-73.99369812,40.73550034,N,533
id1445390,2,1/19/2016 8:00,1/19/2016 8:17,3,-73.96012115,40.7819519,-73.9719696,40.75503922,N,1035
id0345679,2,3/22/2016 20:24,3/22/2016 20:33,1,-73.99752045,40.721241,-73.98800659,40.72082138,N,574
